project,year,doy,siteID,depthID,sampleDepth,SRP_ugL,flagSRP,TP_ugL,flagTP,TN_mgL,flagTN,NOx_mgL,flagNOx,microcystin_ugL,flagMC,TSS_mgL,flagTSS,VSS_mgL,flagVSS,ISS_mgL,flagISS
GVLmonitoring,2019,143,1,4,2,19.3,,NA,b,NA,b,2.89,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,143,4,1,0.25,5.85,,NA,b,NA,b,0.33,,2.694,,NA,b,NA,b,NA,b
GVLmonitoring,2019,143,4,2,2,7.7,,NA,b,NA,b,0.45,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,143,4,3,4,7.5,,NA,b,NA,b,0.18,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,143,4,4,6,16.15,,NA,b,NA,b,0.32,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,143,6,1,0.25,4.83,,NA,b,NA,b,1.14,,1.431,,NA,b,NA,b,NA,b
GVLmonitoring,2019,143,6,2,1,5.5,,NA,b,NA,b,1.05,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,143,6,3,2,5.4,,NA,b,NA,b,0.86,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,143,6,4,3.5,8.3,,NA,b,NA,b,1.16,,NA,b,NA,b,NA,b,NA,b
beachMonitoring,2019,149,9,1,0.25,NA,b,NA,b,NA,b,NA,b,7.45,,NA,b,NA,b,NA,b
GVLmonitoring,2019,150,1,1,0.25,25.45,,177.4,,6.17,,2.64,,6.11,,NA,b,NA,b,NA,b
GVLmonitoring,2019,150,1,2,0.75,22.65,,NA,b,NA,b,2.4,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,150,1,3,1.5,25.15,,NA,b,NA,b,2.51,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,150,1,4,2,51.35,,NA,b,NA,b,3.04,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,150,2,1,0.25,7.15,,119.4,,6.25,,1.87,,3.1825,,NA,b,NA,b,NA,b
GVLmonitoring,2019,150,2,2,1,7.15,,NA,b,NA,b,1.94,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,150,2,3,2,8,,NA,b,NA,b,2.18,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,150,2,4,3,25.9,,NA,b,NA,b,1.93,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,150,3,1,0.25,5.5,,97.5,,5.83,,1.67,,3.37,,NA,b,NA,b,NA,b
GVLmonitoring,2019,150,3,2,1.75,7.1,,NA,b,NA,b,1.77,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,150,3,3,3.5,65.65,,NA,b,NA,b,2.6,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,150,3,4,5,133.75,,NA,b,NA,b,3.54,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,150,4,1,0.25,4.4,,81.25,,5.96,,1.44,,5.455,,NA,b,NA,b,NA,b
GVLmonitoring,2019,150,4,2,2,2.75,,NA,b,NA,b,1.39,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,150,4,3,4,14.85,,NA,b,NA,b,1.67,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,150,4,4,6,133.6,,NA,b,NA,b,1.24,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,150,5,1,0.25,5.35,,108.8,,4.43,,1.52,,4.9775,,NA,b,NA,b,NA,b
GVLmonitoring,2019,150,5,2,1.5,5.7,,NA,b,NA,b,1.55,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,150,5,3,3,8.05,,NA,b,NA,b,1.65,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,150,5,4,4.5,71.7,,NA,b,NA,b,2.18,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,150,6,1,0.25,5.75,,109.75,,6.8,,1.75,,6.855,,NA,b,NA,b,NA,b
GVLmonitoring,2019,150,6,2,1,5,,NA,b,NA,b,1.68,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,150,6,3,2,5.7,,NA,b,NA,b,1.49,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,150,6,4,3.5,19.1,,NA,b,NA,b,1.71,,NA,b,NA,b,NA,b,NA,b
beachMonitoring,2019,156,9,1,0.25,NA,b,NA,b,NA,b,NA,b,23.93,,NA,b,NA,b,NA,b
GVLmonitoring,2019,157,1,1,0.25,0,a,85.65,,3.07,,2.12,,4.0775,,NA,b,NA,b,NA,b
GVLmonitoring,2019,157,1,2,0.75,7.35,,NA,b,NA,b,NA,b,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,157,1,3,1.5,1.4,,NA,b,NA,b,2.51,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,157,1,4,2,11.65,,NA,b,NA,b,NA,b,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,157,2,1,0.25,0,a,73.6,,2.65,,NA,b,5.4175,,NA,b,NA,b,NA,b
GVLmonitoring,2019,157,2,2,1,0,a,NA,b,NA,b,1.79,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,157,2,3,2,0,a,NA,b,NA,b,1.86,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,157,2,4,3,4.85,,NA,b,NA,b,2.01,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,157,3,1,0.25,0,a,51.35,,2.47,,1.79,,0.934,,NA,b,NA,b,NA,b
GVLmonitoring,2019,157,3,2,1.75,0,a,NA,b,NA,b,1.95,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,157,3,3,3.5,3.9,,NA,b,NA,b,2.28,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,157,3,4,5,99.7,,NA,b,NA,b,2.42,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,157,4,1,0.25,0,a,66.55,,2.48,,1.62,,0.29,,NA,b,NA,b,NA,b
GVLmonitoring,2019,157,4,2,2,0,a,NA,b,NA,b,1.89,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,157,4,3,4,2.3,,NA,b,NA,b,2.33,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,157,4,4,6,158.35,,NA,b,NA,b,2.02,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,157,5,1,0.25,0,a,NA,b,2.07,,1.68,,4.629,,NA,b,NA,b,NA,b
GVLmonitoring,2019,157,5,2,1.5,0,a,NA,b,NA,b,1.89,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,157,5,3,3,0,a,NA,b,NA,b,2.13,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,157,5,4,4.5,30.9,,NA,b,NA,b,2.23,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,157,6,1,0.25,0,a,NA,b,2.47,,1.73,,1.6865,,NA,b,NA,b,NA,b
GVLmonitoring,2019,157,6,2,1,0,a,NA,b,NA,b,1.8,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,157,6,3,2,0,a,NA,b,NA,b,1.8,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,157,6,4,3.5,18.85,,NA,b,NA,b,1.75,,NA,b,NA,b,NA,b,NA,b
beachMonitoring,2019,163,9,1,0.25,NA,b,NA,b,NA,b,NA,b,8.81,,NA,b,NA,b,NA,b
GVLmonitoring,2019,164,1,1,0.25,7.7,,87.85,,1.33,,1.65,,4.104,,NA,b,NA,b,NA,b
GVLmonitoring,2019,164,1,2,0.75,7.2,,NA,b,NA,b,1.77,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,164,1,3,1.5,6.95,,NA,b,NA,b,1.72,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,164,1,4,2,9.15,,NA,b,NA,b,1.53,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,164,2,1,0.25,0,a,57.9,,3.79,,1.45,,5,,NA,b,NA,b,NA,b
GVLmonitoring,2019,164,2,2,1,0,a,NA,b,NA,b,1.5,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,164,2,3,2,2.65,,NA,b,NA,b,1.46,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,164,2,4,3,3.2,,NA,b,NA,b,1.41,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,164,3,1,0.25,0,a,45.95,,4.47,,1.34,,4.477,,NA,b,NA,b,NA,b
GVLmonitoring,2019,164,3,2,1.75,0,a,NA,b,NA,b,1.36,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,164,3,3,3.5,0,a,NA,b,NA,b,1.26,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,164,3,4,5,55.85,,NA,b,NA,b,1.35,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,164,4,1,0.25,0,a,57.75,,3.72,,1.3,,10.52,,NA,b,NA,b,NA,b
GVLmonitoring,2019,164,4,2,2,0,a,NA,b,NA,b,1.26,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,164,4,3,4,0,a,NA,b,NA,b,1.49,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,164,4,4,6,119.45,,NA,b,NA,b,1.13,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,164,5,1,0.25,2.55,,61.25,,4.66,,1.38,,8.1975,,NA,b,NA,b,NA,b
GVLmonitoring,2019,164,5,2,1.5,0,a,NA,b,NA,b,1.19,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,164,5,3,3,0,a,NA,b,NA,b,1.28,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,164,5,4,4.5,12.4,,NA,b,NA,b,1.14,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,164,6,1,0.25,0,a,61.75,,4.69,,1.13,,6.89,,NA,b,NA,b,NA,b
GVLmonitoring,2019,164,6,2,1,0,a,NA,b,NA,b,1.24,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,164,6,3,2,2.45,,NA,b,NA,b,1.21,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,164,6,4,3.5,13.65,,NA,b,NA,b,1.25,,NA,b,NA,b,NA,b,NA,b
beachMonitoring,2019,170,9,1,0.25,NA,b,NA,b,NA,b,NA,b,13.93,,NA,b,NA,b,NA,b
GVLmonitoring,2019,171,1,1,0.25,0,a,95.5,,NA,b,1.19,,17.33,,NA,b,NA,b,NA,b
GVLmonitoring,2019,171,1,2,0.75,0,a,NA,b,NA,b,1.14,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,171,1,3,1.5,0,a,NA,b,NA,b,1.25,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,171,1,4,2,59.1,,NA,b,NA,b,1.23,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,171,2,1,0.25,0,a,95.2,,NA,b,1.1,,30.17,,NA,b,NA,b,NA,b
GVLmonitoring,2019,171,2,2,1,0,a,NA,b,NA,b,1.03,,NA,b,NA,b,NA,b,NA,b
