project,year,doy,siteID,depthID,sampleDepth,SRP_ugL,flagSRP,TP_ugL,flagTP,TN_mgL,flagTN,NOx_mgL,flagNOx,microcystin_ugL,flagMC,TSS_mgL,flagTSS,VSS_mgL,flagVSS,ISS_mgL,flagISS
GVLmonitoring,2019,199,3,3,3.5,105.15,,NA,b,NA,b,0.27,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,199,3,4,5,384.2,,NA,b,NA,b,0.2,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,199,4,1,0.25,98.55,,263.7,,1.48,,0.1,b,20.615,,NA,b,NA,b,NA,b
GVLmonitoring,2019,199,4,2,2,104.6,,NA,b,NA,b,0.13,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,199,4,3,4,113.2,,NA,b,NA,b,0.25,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,199,4,4,6,515.75,,NA,b,NA,b,0.15,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,199,5,1,0.25,101.8,,271.9,,1.25,,0.24,,26.37,,NA,b,NA,b,NA,b
GVLmonitoring,2019,199,5,2,1.5,95.65,,NA,b,NA,b,0.22,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,199,5,3,3,100.6,,NA,b,NA,b,0.29,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,199,5,4,4.5,109.7,,NA,b,NA,b,0.22,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,199,6,1,0.25,98.2,,282.5,,1.26,,0.27,,21.595,,NA,b,NA,b,NA,b
GVLmonitoring,2019,199,6,2,1,102.55,,NA,b,NA,b,0.32,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,199,6,3,2,104.65,,NA,b,NA,b,0.19,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,199,6,4,3.5,102.4,,NA,b,NA,b,0.2,,NA,b,NA,b,NA,b,NA,b
beachMonitoring,2019,205,9,1,0.25,NA,b,NA,b,NA,b,NA,b,36.56,,NA,b,NA,b,NA,b
GVLmonitoring,2019,206,1,1,0.25,179.05,,348.45,,4.85,,0.15,,24.73,,NA,b,NA,b,NA,b
GVLmonitoring,2019,206,1,2,0.75,179.35,,NA,b,NA,b,0.05,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,206,1,3,1.5,180.15,,NA,b,NA,b,0.07,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,206,1,4,2,186.2,,NA,b,NA,b,0.03,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,206,2,1,0.25,163.3,,332.95,,4.8,,0,a,33.55,,NA,b,NA,b,NA,b
GVLmonitoring,2019,206,2,2,1,164.85,,NA,b,NA,b,0,a,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,206,2,3,2,166.45,,NA,b,NA,b,0.05,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,206,2,4,3,170.8,,NA,b,NA,b,0,a,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,206,3,1,0.25,162.4,,314.65,,4.6,,0,a,36.995,,NA,b,NA,b,NA,b
GVLmonitoring,2019,206,3,2,1.75,163.8,,NA,b,NA,b,0.06,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,206,3,3,3.5,182.85,,NA,b,NA,b,0.05,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,206,3,4,5,200.7,,NA,b,NA,b,0.07,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,206,4,1,0.25,187.7,,313.55,,4.58,,0.04,,13.17,,NA,b,NA,b,NA,b
GVLmonitoring,2019,206,4,2,2,185.05,,NA,b,NA,b,0,a,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,206,4,3,4,293.95,,NA,b,NA,b,0,a,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,206,4,4,6,863.05,,NA,b,NA,b,0,a,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,206,5,1,0.25,169.65,,322.45,,4.88,,0,a,24.165,,NA,b,NA,b,NA,b
GVLmonitoring,2019,206,5,2,1.5,184.35,,NA,b,NA,b,0,a,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,206,5,3,3,167.55,,NA,b,NA,b,0.08,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,206,5,4,4.5,175.5,,NA,b,NA,b,0.05,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,206,6,1,0.25,172.9,,334.25,,4.35,,0.18,,20.61,,NA,b,NA,b,NA,b
GVLmonitoring,2019,206,6,2,1,173.9,,NA,b,NA,b,0.04,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,206,6,3,2,171.6,,NA,b,NA,b,0.09,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,206,6,4,3.5,152.8,,NA,b,NA,b,0,a,NA,b,NA,b,NA,b,NA,b
beachMonitoring,2019,212,9,1,0.25,NA,b,NA,b,NA,b,NA,b,18.37,,NA,b,NA,b,NA,b
GVLmonitoring,2019,213,1,1,0.25,199.05,,386.4,,1.57,,0.3,,18.765,,NA,b,NA,b,NA,b
GVLmonitoring,2019,213,1,2,0.75,199.8,,NA,b,NA,b,0.18,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,213,1,3,1.5,205.55,,NA,b,NA,b,0.19,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,213,1,4,2,214.2,,NA,b,NA,b,0.17,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,213,2,1,0.25,190.15,,375,,1.88,,0.12,,20.01,,NA,b,NA,b,NA,b
GVLmonitoring,2019,213,2,2,1,191.4,,NA,b,NA,b,0.29,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,213,2,3,2,186.6,,NA,b,NA,b,0.3,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,213,2,4,3,192.05,,NA,b,NA,b,0.24,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,213,3,1,0.25,186.7,,360.75,,1.58,,0.15,,17.915,,NA,b,NA,b,NA,b
GVLmonitoring,2019,213,3,2,1.75,190.85,,NA,b,NA,b,0.22,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,213,3,3,3.5,190.8,,NA,b,NA,b,0.21,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,213,3,4,5,201.7,,NA,b,NA,b,0.16,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,213,4,1,0.25,208.55,,349.3,,1.43,,0.11,,14.95,,NA,b,NA,b,NA,b
GVLmonitoring,2019,213,4,2,2,198.8,,NA,b,NA,b,0.27,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,213,4,3,4,195.4,,NA,b,NA,b,0.12,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,213,4,4,6,334.75,,NA,b,NA,b,0.21,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,213,5,1,0.25,200.3,,367.4,,1.74,,0.22,,20.925,,NA,b,NA,b,NA,b
GVLmonitoring,2019,213,5,2,1.5,198.3,,NA,b,NA,b,0.18,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,213,5,3,3,198.05,,NA,b,NA,b,0.16,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,213,5,4,4.5,199.25,,NA,b,NA,b,0.12,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,213,6,1,0.25,193.8,,369.4,,1.62,,0.21,,22.87,,NA,b,NA,b,NA,b
GVLmonitoring,2019,213,6,2,1,197.15,,NA,b,NA,b,0.18,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,213,6,3,2,196.95,,NA,b,NA,b,0.22,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,213,6,4,3.5,197.55,,NA,b,NA,b,0.21,,NA,b,NA,b,NA,b,NA,b
beachMonitoring,2019,219,9,1,0.25,NA,b,NA,b,NA,b,NA,b,34.83,,NA,b,NA,b,NA,b
GVLmonitoring,2019,220,1,1,0.25,206.55,,370.85,,4.84,,0,a,22.455,,NA,b,NA,b,NA,b
GVLmonitoring,2019,220,1,2,0.75,216.95,,NA,b,NA,b,0,a,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,220,1,3,1.5,212.95,,NA,b,NA,b,0.14,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,220,1,4,2,224.3,,NA,b,NA,b,0.1,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,220,2,1,0.25,188.05,,352.9,,4.98,,0,a,21.19,,NA,b,NA,b,NA,b
GVLmonitoring,2019,220,2,2,1,188.9,,NA,b,NA,b,0,a,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,220,2,3,2,195.8,,NA,b,NA,b,0.19,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,220,2,4,3,208.8,,NA,b,NA,b,0.16,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,220,3,1,0.25,177,,324,,4.95,,0.11,,29.69,,NA,b,NA,b,NA,b
GVLmonitoring,2019,220,3,2,1.75,176.15,,NA,b,NA,b,0,a,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,220,3,3,3.5,209.9,,NA,b,NA,b,0,a,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,220,3,4,5,453.85,,NA,b,NA,b,0.11,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,220,4,1,0.25,174.35,,334.45,,5.08,,0,a,19.025,,NA,b,NA,b,NA,b
GVLmonitoring,2019,220,4,2,2,176.25,,NA,b,NA,b,0,a,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,220,4,3,4,238.9,,NA,b,NA,b,0,a,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,220,4,4,6,882.25,,NA,b,NA,b,0,a,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,220,5,1,0.25,171.55,,328.45,,4.89,,0.12,,16.615,,NA,b,NA,b,NA,b
GVLmonitoring,2019,220,5,2,1.5,185.25,,NA,b,NA,b,0.14,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,220,5,3,3,205.15,,NA,b,NA,b,0,a,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,220,5,4,4.5,272.25,,NA,b,NA,b,0,a,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,220,6,1,0.25,178.15,,341.65,,5.15,,0,a,22.015,,NA,b,NA,b,NA,b
GVLmonitoring,2019,220,6,2,1,177.6,,NA,b,NA,b,0,a,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,220,6,3,2,211.2,,NA,b,NA,b,0,a,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,220,6,4,3.5,229.55,,NA,b,NA,b,0.11,,NA,b,NA,b,NA,b,NA,b
beachMonitoring,2019,226,9,1,0.25,NA,b,NA,b,NA,b,NA,b,16.75,,NA,b,NA,b,NA,b
GVLmonitoring,2019,227,1,1,0.25,234.15,,347.1,,4.6,,0.19,,7.48,,NA,b,NA,b,NA,b
GVLmonitoring,2019,227,1,2,0.75,238.65,,NA,b,NA,b,0,a,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,227,1,3,1.5,248.65,,NA,b,NA,b,0.16,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,227,1,4,2,241.15,,NA,b,NA,b,0.22,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,227,2,1,0.25,219.8,,327.15,,4.54,,0.16,,9.06,,NA,b,NA,b,NA,b
GVLmonitoring,2019,227,2,2,1,227.15,,NA,b,NA,b,0.17,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,227,2,3,2,227.2,,NA,b,NA,b,0,a,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,227,2,4,3,225.15,,NA,b,NA,b,0,a,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,227,3,1,0.25,206.4,,294.45,,4.48,,0.12,,7.325,,NA,b,NA,b,NA,b
GVLmonitoring,2019,227,3,2,1.75,212.3,,NA,b,NA,b,0,a,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,227,3,3,3.5,207.75,,NA,b,NA,b,0,a,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,227,3,4,5,273.05,,NA,b,NA,b,0,a,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,227,4,1,0.25,201.65,,306.65,,4.56,,0.21,,8.635,,NA,b,NA,b,NA,b
GVLmonitoring,2019,227,4,2,2,202.95,,NA,b,NA,b,0.28,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,227,4,3,4,218.4,,NA,b,NA,b,0.1,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,227,4,4,6,589,,NA,b,NA,b,0,a,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,227,5,1,0.25,207.15,,298.05,,4.64,,0.21,,7.975,,NA,b,NA,b,NA,b
GVLmonitoring,2019,227,5,2,1.5,203.35,,NA,b,NA,b,0,a,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,227,5,3,3,210.25,,NA,b,NA,b,0,a,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,227,5,4,4.5,220.8,,NA,b,NA,b,0.15,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,227,6,1,0.25,210.05,,318.4,,4.84,,0,a,10.35,,NA,b,NA,b,NA,b
GVLmonitoring,2019,227,6,2,1,209.4,,NA,b,NA,b,0.13,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,227,6,3,2,209.15,,NA,b,NA,b,0,a,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,227,6,4,3.5,214.3,,NA,b,NA,b,0,a,NA,b,NA,b,NA,b,NA,b
beachMonitoring,2019,233,9,1,0.25,NA,b,NA,b,NA,b,NA,b,10.16,,NA,b,NA,b,NA,b
GVLmonitoring,2019,234,1,1,0.25,255.3,,374.83,,4.52,,0,a,14.335,,NA,b,NA,b,NA,b
GVLmonitoring,2019,234,1,2,0.75,255.55,,NA,b,NA,b,0,a,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,234,1,3,1.5,256.75,,NA,b,NA,b,0,a,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,234,1,4,2,256.8,,NA,b,NA,b,0,a,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,234,2,1,0.25,232.9,,352.83,,4.79,,0.19,,15.58,,NA,b,NA,b,NA,b
GVLmonitoring,2019,234,2,2,1,232.9,,NA,b,NA,b,0,a,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,234,2,3,2,232.5,,NA,b,NA,b,0,a,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,234,2,4,3,234.65,,NA,b,NA,b,0,a,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,234,3,1,0.25,218.7,,348.1,,4.54,,0.19,,15.47,,NA,b,NA,b,NA,b
GVLmonitoring,2019,234,3,2,1.75,219.8,,NA,b,NA,b,0,a,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,234,3,3,3.5,219.75,,NA,b,NA,b,0,a,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,234,3,4,5,254.25,,NA,b,NA,b,0,a,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,234,4,1,0.25,216.55,,350.63,,4.59,,0,a,15.755,,NA,b,NA,b,NA,b
GVLmonitoring,2019,234,4,2,2,218,,NA,b,NA,b,0.24,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,234,4,3,4,221.8,,NA,b,NA,b,0,a,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,234,4,4,6,378.3,,NA,b,NA,b,0.19,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,234,5,1,0.25,231.4,,366,,4.53,,0,a,15.705,,NA,b,NA,b,NA,b
GVLmonitoring,2019,234,5,2,1.5,229.4,,NA,b,NA,b,0,a,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,234,5,3,3,232.35,,NA,b,NA,b,0,a,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,234,5,4,4.5,234.3,,NA,b,NA,b,0.11,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,234,6,1,0.25,232.6,,409.03,,4.45,,0,a,14.17,,NA,b,NA,b,NA,b
GVLmonitoring,2019,234,6,2,1,230.65,,NA,b,NA,b,0,a,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,234,6,3,2,232.75,,NA,b,NA,b,0.11,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,234,6,4,3.5,233.85,,NA,b,NA,b,0,a,NA,b,NA,b,NA,b,NA,b
beachMonitoring,2019,240,9,1,0.25,NA,b,NA,b,NA,b,NA,b,20.35,,NA,b,NA,b,NA,b
GVLmonitoring,2019,245,1,1,0.25,NA,b,457.03,,5.51,,NA,b,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,245,2,1,0.25,NA,b,394.33,,5.41,,NA,b,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,245,3,1,0.25,NA,b,359.57,,5.05,,NA,b,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,245,4,1,0.25,NA,b,341.23,,4.47,,NA,b,9.33,,NA,b,NA,b,NA,b
GVLmonitoring,2019,245,5,1,0.25,NA,b,364.9,,4.87,,NA,b,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,245,6,1,0.25,NA,b,363.23,,4.92,,NA,b,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,273,1,1,0.25,NA,b,348.83,,2.99,,NA,b,19.695,,NA,b,NA,b,NA,b
GVLmonitoring,2019,273,2,1,0.25,NA,b,313.13,,2.26,,NA,b,13.09,,NA,b,NA,b,NA,b
GVLmonitoring,2019,273,3,1,0.25,NA,b,277.77,,2.2,,NA,b,7.72,,NA,b,NA,b,NA,b
GVLmonitoring,2019,273,4,1,0.25,NA,b,252.33,,2.33,,NA,b,12.5075,,NA,b,NA,b,NA,b
GVLmonitoring,2019,273,5,1,0.25,NA,b,259.5,,2.15,,NA,b,10.355,,NA,b,NA,b,NA,b
GVLmonitoring,2019,273,6,1,0.25,NA,b,280.4,,2.5,,NA,b,15.87,,NA,b,NA,b,NA,b
dnr319,2015,103,4,1,0.25,NA,b,120,,NA,b,NA,b,NA,b,NA,b,NA,b,NA,b
dnr319,2015,103,4,4,6,NA,b,100,,NA,b,NA,b,NA,b,NA,b,NA,b,NA,b
dnr319,2015,117,4,1,0.25,NA,b,150,,NA,b,NA,b,NA,b,NA,b,NA,b,NA,b
dnr319,2015,117,4,4,6,NA,b,150,,NA,b,NA,b,NA,b,NA,b,NA,b,NA,b
dnr319,2015,131,4,1,0.25,NA,b,300,,NA,b,NA,b,NA,b,NA,b,NA,b,NA,b
dnr319,2015,147,4,1,0.25,NA,b,110,,NA,b,NA,b,NA,b,NA,b,NA,b,NA,b
dnr319,2015,147,4,4,6,NA,b,210,,NA,b,NA,b,NA,b,NA,b,NA,b,NA,b
dnr319,2015,161,4,1,0.25,NA,b,100,,NA,b,NA,b,NA,b,NA,b,NA,b,NA,b
dnr319,2015,161,4,4,6,NA,b,20,,NA,b,NA,b,NA,b,NA,b,NA,b,NA,b
dnr319,2015,176,4,1,0.25,NA,b,80,,NA,b,NA,b,NA,b,NA,b,NA,b,NA,b
dnr319,2015,176,4,4,6,NA,b,100,,NA,b,NA,b,NA,b,NA,b,NA,b,NA,b
dnr319,2015,188,4,1,0.25,NA,b,230,,NA,b,NA,b,NA,b,NA,b,NA,b,NA,b
dnr319,2015,188,4,4,6,NA,b,210,,NA,b,NA,b,NA,b,NA,b,NA,b,NA,b
dnr319,2015,204,4,1,0.25,NA,b,210,,NA,b,NA,b,NA,b,NA,b,NA,b,NA,b
dnr319,2015,204,4,4,6,NA,b,180,,NA,b,NA,b,NA,b,NA,b,NA,b,NA,b
dnr319,2015,218,4,1,0.25,NA,b,230,,NA,b,NA,b,NA,b,NA,b,NA,b,NA,b
dnr319,2015,218,4,4,6,NA,b,520,,NA,b,NA,b,NA,b,NA,b,NA,b,NA,b
dnr319,2015,224,4,1,0.25,NA,b,690,,NA,b,NA,b,NA,b,NA,b,NA,b,NA,b
dnr319,2015,224,4,4,6,NA,b,420,,NA,b,NA,b,NA,b,NA,b,NA,b,NA,b
dnr319,2015,236,4,1,0.25,NA,b,500,,NA,b,NA,b,NA,b,NA,b,NA,b,NA,b
dnr319,2015,236,4,4,6,NA,b,540,,NA,b,NA,b,NA,b,NA,b,NA,b,NA,b
dnr319,2015,253,4,1,0.25,NA,b,400,,NA,b,NA,b,NA,b,NA,b,NA,b,NA,b
dnr319,2015,253,4,4,6,NA,b,400,,NA,b,NA,b,NA,b,NA,b,NA,b,NA,b
dnr319,2015,259,4,1,0.25,NA,b,420,,NA,b,NA,b,NA,b,NA,b,NA,b,NA,b
dnr319,2015,259,4,4,6,NA,b,410,,NA,b,NA,b,NA,b,NA,b,NA,b,NA,b
dnr319,2015,264,4,1,0.25,NA,b,310,,NA,b,NA,b,NA,b,NA,b,NA,b,NA,b
dnr319,2015,264,4,4,6,NA,b,260,,NA,b,NA,b,NA,b,NA,b,NA,b,NA,b
dnr319,2015,281,4,1,0.25,NA,b,230,,NA,b,NA,b,NA,b,NA,b,NA,b,NA,b
dnr319,2015,281,4,4,6,NA,b,250,,NA,b,NA,b,NA,b,NA,b,NA,b,NA,b
dnr319,2014,107,4,1,0.25,NA,b,120,,NA,b,NA,b,NA,b,NA,b,NA,b,NA,b
dnr319,2014,107,4,4,6,NA,b,80,,NA,b,NA,b,NA,b,NA,b,NA,b,NA,b
dnr319,2014,119,4,1,0.25,NA,b,100,,NA,b,NA,b,NA,b,NA,b,NA,b,NA,b
dnr319,2014,119,4,4,6,NA,b,120,,NA,b,NA,b,NA,b,NA,b,NA,b,NA,b
dnr319,2014,134,4,1,0.25,NA,b,130,,NA,b,NA,b,NA,b,NA,b,NA,b,NA,b
dnr319,2014,134,4,4,6,NA,b,160,,NA,b,NA,b,NA,b,NA,b,NA,b,NA,b
dnr319,2014,147,4,1,0.25,NA,b,60,,NA,b,NA,b,NA,b,NA,b,NA,b,NA,b
dnr319,2014,147,4,4,6,NA,b,110,,NA,b,NA,b,NA,b,NA,b,NA,b,NA,b
dnr319,2014,161,4,1,0.25,NA,b,100,,NA,b,NA,b,NA,b,NA,b,NA,b,NA,b
dnr319,2014,161,4,4,6,NA,b,100,,NA,b,NA,b,NA,b,NA,b,NA,b,NA,b
dnr319,2014,174,4,1,0.25,NA,b,170,,NA,b,NA,b,NA,b,NA,b,NA,b,NA,b
dnr319,2014,174,4,4,6,NA,b,110,,NA,b,NA,b,NA,b,NA,b,NA,b,NA,b
dnr319,2014,188,4,1,0.25,NA,b,180,,NA,b,NA,b,NA,b,NA,b,NA,b,NA,b
dnr319,2014,188,4,4,6,NA,b,200,,NA,b,NA,b,NA,b,NA,b,NA,b,NA,b
dnr319,2014,204,4,1,0.25,NA,b,200,,NA,b,NA,b,NA,b,NA,b,NA,b,NA,b
dnr319,2014,204,4,4,6,NA,b,110,,NA,b,NA,b,NA,b,NA,b,NA,b,NA,b
dnr319,2014,219,4,1,0.25,NA,b,280,,NA,b,NA,b,NA,b,NA,b,NA,b,NA,b
dnr319,2014,219,4,4,6,NA,b,320,,NA,b,NA,b,NA,b,NA,b,NA,b,NA,b
dnr319,2014,231,4,1,0.25,NA,b,380,,NA,b,NA,b,NA,b,NA,b,NA,b,NA,b
dnr319,2014,231,4,4,6,NA,b,320,,NA,b,NA,b,NA,b,NA,b,NA,b,NA,b
dnr319,2014,246,4,1,0.25,NA,b,280,,NA,b,NA,b,NA,b,NA,b,NA,b,NA,b
dnr319,2014,246,4,4,6,NA,b,300,,NA,b,NA,b,NA,b,NA,b,NA,b,NA,b
dnr319,2014,259,4,1,0.25,NA,b,210,,NA,b,NA,b,NA,b,NA,b,NA,b,NA,b
dnr319,2014,259,4,4,6,NA,b,230,,NA,b,NA,b,NA,b,NA,b,NA,b,NA,b
dnr319,2014,273,4,1,0.25,NA,b,80,,NA,b,NA,b,NA,b,NA,b,NA,b,NA,b
dnr319,2014,273,4,4,6,NA,b,140,,NA,b,NA,b,NA,b,NA,b,NA,b,NA,b
