lake,year,month,sample_id,site,hypo_temp_c,hypo_DO_mgL,hypo_DO_sat,core_id,core_unique,doy,pH,temp_c,DO_mgL,DO_sat,PrrTP
Green Valley,2020,April,C20041119108,1,14.6,9.41,92.5,8,14,119,7.69,11.5,9.85,90,6.40563732
Green Valley,2020,April,C20041120108,1,14.6,9.41,92.5,8,14,120,7.8,10.9,10.35,93.5,-4.733239337
Green Valley,2020,April,C20041121108,1,14.6,9.41,92.5,8,14,121,8.23,11.1,10.69,97.4,3.242504755
Green Valley,2020,April,C20041118109,1,14.6,9.41,92.5,9,15,118,7.55,12.6,10.43,98.3,NA
Green Valley,2020,April,C20041119109,1,14.6,9.41,92.5,9,15,119,7.69,11.2,10.05,91.7,19.44104265
Green Valley,2020,April,C20041120109,1,14.6,9.41,92.5,9,15,120,7.9,10.7,10.57,95.3,-9.469253026
Green Valley,2020,April,C20041121109,1,14.6,9.41,92.5,9,15,121,8.25,11,10.75,97.6,1.551601153
Green Valley,2020,June,C20041182401,4,24.2,0.28,3.3,1,16,182,7.97,22.1,1.6,18.4,NA
Green Valley,2020,June,C20041183401,4,24.2,0.28,3.3,1,16,183,8.57,23.1,1.14,13.4,19.52972118
Green Valley,2020,June,C20041184401,4,24.2,0.28,3.3,1,16,184,8.5,23.1,1.4,16.4,19.1218487
Green Valley,2020,June,C20041185401,4,24.2,0.28,3.3,1,16,185,8.38,23.2,1.45,17,10.0683415
Green Valley,2020,June,C20041182402,4,24.2,0.28,3.3,2,17,182,7.7,22,1.65,18.9,NA
Green Valley,2020,June,C20041183402,4,24.2,0.28,3.3,2,17,183,8.17,22.9,1.22,14.2,42.61278674
Green Valley,2020,June,C20041184402,4,24.2,0.28,3.3,2,17,184,8.03,22.9,1.39,16,-2.751851585
Green Valley,2020,June,C20041185402,4,24.2,0.28,3.3,2,17,185,7.9,23.2,1.55,18.2,7.888763689
Green Valley,2020,June,C20041182403,4,24.2,0.28,3.3,3,18,182,7.84,22,1.51,17.3,NA
Green Valley,2020,June,C20041183403,4,24.2,0.28,3.3,3,18,183,8.1,22.9,1.22,14.1,23.48998444
Green Valley,2020,June,C20041184403,4,24.2,0.28,3.3,3,18,184,8,22.8,1.06,12.4,24.22979625
Green Valley,2020,June,C20041185403,4,24.2,0.28,3.3,3,18,185,7.94,23.2,1.42,16.4,10.98574496
Green Valley,2020,June,C200411821004,10,26.3,6.26,78,4,19,182,6.94,22.1,2.8,32,NA
Green Valley,2020,June,C200411831004,10,26.3,6.26,78,4,19,183,7.52,22.9,7.08,82.3,-24.24910879
Green Valley,2020,June,C200411841004,10,26.3,6.26,78,4,19,184,7.29,22.9,6.31,73.5,-6.819009366
Green Valley,2020,June,C200411851004,10,26.3,6.26,78,4,19,185,7.45,23.3,6.95,81.5,-0.748771974
Green Valley,2020,June,C200411821005,10,26.3,6.26,78,5,20,182,7.43,22,7.62,87.2,NA
Green Valley,2020,June,C200411831005,10,26.3,6.26,78,5,20,183,7.71,22.8,7.7,89.4,-4.611835375
Green Valley,2020,June,C200411841005,10,26.3,6.26,78,5,20,184,7.07,22.9,5.45,63.3,3.314764769
Green Valley,2020,June,C200411851005,10,26.3,6.26,78,5,20,185,7.25,23.3,6.42,75,25.28500432
Green Valley,2020,June,C200411821006,10,26.3,6.26,78,6,21,182,7.16,22.1,6.45,74,NA
Green Valley,2020,June,C200411831006,10,26.3,6.26,78,6,21,183,7.15,23,6.55,76.3,-6.573449568
Green Valley,2020,June,C200411841006,10,26.3,6.26,78,6,21,184,7,23,5.18,60.4,2.006721542
Green Valley,2020,June,C200411851006,10,26.3,6.26,78,6,21,185,7.14,23.3,5.81,68.2,-20.1895897
Green Valley,2020,June,C20041182107,1,26.5,5.41,67.4,7,22,182,7.33,22.1,6.91,79.2,NA
Green Valley,2020,June,C20041183107,1,26.5,5.41,67.4,7,22,183,7.54,23,7.84,91.4,-14.32405836
Green Valley,2020,June,C20041184107,1,26.5,5.41,67.4,7,22,184,7.53,23,7.79,91,-2.089339697
Green Valley,2020,June,C20041185107,1,26.5,5.41,67.4,7,22,185,7.75,23.4,7.79,91.6,0.067344741
Green Valley,2020,June,C20041182108,1,26.5,5.41,67.4,8,23,182,7.53,22.3,7.51,86.3,NA
Green Valley,2020,June,C20041183108,1,26.5,5.41,67.4,8,23,183,7.55,23.1,7.64,89.3,1.273579251
Green Valley,2020,June,C20041184108,1,26.5,5.41,67.4,8,23,184,7.71,23.1,7.5,87.7,25.79314928
Green Valley,2020,June,C20041185108,1,26.5,5.41,67.4,8,23,185,7.6,23.5,7.44,87.5,-8.159007493
Green Valley,2020,June,C20041182109,1,26.5,5.41,67.4,9,24,182,7.51,22.4,7.57,87.1,NA
Green Valley,2020,June,C20041183109,1,26.5,5.41,67.4,9,24,183,7.28,23.1,6.6,77.1,-1.925574424
Green Valley,2020,June,C20041184109,1,26.5,5.41,67.4,9,24,184,7.14,23.1,6.2,72.5,12.34134914
Green Valley,2020,June,C20041185109,1,26.5,5.41,67.4,9,24,185,7.43,23.5,7.07,83.2,-13.86768653
Green Valley,2020,August,C20041224401,4,24.9,4.54,54.7,1,25,224,7.79,23.9,2.81,33,NA
Green Valley,2020,August,C20041225401,4,24.9,4.54,54.7,1,25,225,7.95,24.3,1.35,16,57.28360695
Green Valley,2020,August,C20041226401,4,24.9,4.54,54.7,1,25,226,7.41,26.2,1.68,20.6,0.887815418
Green Valley,2020,August,C20041227401,4,24.9,4.54,54.7,1,25,227,7.34,24.4,2.12,25,-31.25200764
Green Valley,2020,August,C20041224402,4,24.9,4.54,54.7,2,26,224,7.89,24,2.5,29.6,NA
Green Valley,2020,August,C20041225402,4,24.9,4.54,54.7,2,26,225,7.9,24.5,1.29,15.5,8.947903746
Green Valley,2020,August,C20041226402,4,24.9,4.54,54.7,2,26,226,7.32,26.2,0.98,12,-16.45463746
Green Valley,2020,August,C20041227402,4,24.9,4.54,54.7,2,26,227,7.31,24.4,1.31,15.4,14.29250259
Green Valley,2020,August,C20041224403,4,24.9,4.54,54.7,3,27,224,8.11,24,1.34,15.6,NA
Green Valley,2020,August,C20041225403,4,24.9,4.54,54.7,3,27,225,7.65,24.5,1.63,19.5,-4.043655331
Green Valley,2020,August,C20041226403,4,24.9,4.54,54.7,3,27,226,7.24,26.2,1.25,15.5,6.734658646
