datetime,wtr_0.5,wtr_1.5,wtr_2
2020-04-30 19:00,17.855,15.855,15.66388889
2020-04-30 20:00,17.57,15.76,15.66388889
2020-04-30 21:00,17.37888889,15.95111111,15.66388889
2020-04-30 22:00,17.28388889,15.95111111,15.66388889
2020-04-30 23:00,17.09388889,15.95111111,15.66388889
2020-05-01 00:00,16.90277778,15.855,15.56888889
2020-05-01 01:00,16.61777778,15.855,15.56888889
2020-05-01 02:00,16.52277778,15.855,15.56888889
2020-05-01 03:00,16.42722222,15.95111111,15.56888889
2020-05-01 04:00,16.23722222,15.855,15.66388889
2020-05-01 05:00,16.14111111,15.95111111,15.66388889
2020-05-01 06:00,15.95111111,15.95111111,15.855
2020-05-01 07:00,15.95111111,15.855,15.855
2020-05-01 08:00,16.04611111,15.855,15.855
2020-05-01 09:00,16.14111111,15.855,15.855
2020-05-01 10:00,16.23722222,15.95111111,15.95111111
2020-05-01 11:00,16.33222222,15.95111111,15.95111111
2020-05-01 12:00,16.99888889,16.23722222,16.23722222
2020-05-01 13:00,16.99888889,16.42722222,16.42722222
2020-05-01 14:00,17.09388889,16.52277778,16.52277778
2020-05-01 15:00,17.76,16.90277778,16.80777778
2020-05-01 16:00,18.045,17.09388889,17.09388889
2020-05-01 17:00,17.855,17.18888889,17.18888889
2020-05-01 18:00,17.76,17.28388889,17.28388889
2020-05-01 19:00,17.475,17.28388889,17.37888889
2020-05-01 20:00,17.37888889,17.28388889,17.28388889
2020-05-01 21:00,17.37888889,17.28388889,17.28388889
2020-05-01 22:00,17.475,17.28388889,17.37888889
2020-05-01 23:00,17.475,17.37888889,17.37888889
2020-05-02 00:00,17.37888889,17.28388889,17.28388889
2020-05-02 01:00,17.28388889,17.28388889,17.28388889
2020-05-02 02:00,17.28388889,17.18888889,17.28388889
2020-05-02 03:00,17.18888889,17.18888889,17.18888889
2020-05-02 04:00,17.09388889,17.09388889,17.18888889
2020-05-02 05:00,17.09388889,16.99888889,17.09388889
2020-05-02 06:00,16.99888889,16.99888889,16.99888889
2020-05-02 07:00,17.09388889,16.99888889,16.99888889
2020-05-02 08:00,17.18888889,16.99888889,16.99888889
2020-05-02 09:00,17.09388889,16.90277778,16.99888889
2020-05-02 10:00,17.76,17.09388889,17.09388889
2020-05-02 11:00,18.33111111,17.28388889,17.28388889
2020-05-02 12:00,17.475,17.28388889,17.18888889
2020-05-02 13:00,18.61611111,17.475,17.475
2020-05-02 14:00,19.09222222,17.76,17.665
2020-05-02 15:00,18.33111111,17.76,17.665
2020-05-02 16:00,18.14,17.76,17.475
2020-05-02 17:00,18.14,17.665,17.37888889
2020-05-02 18:00,17.95,17.665,17.37888889
2020-05-02 19:00,17.665,17.57,16.80777778
2020-05-02 20:00,17.57,17.475,17.28388889
2020-05-02 21:00,17.475,17.475,16.99888889
2020-05-02 22:00,17.475,17.37888889,16.80777778
2020-05-02 23:00,17.37888889,17.28388889,16.99888889
2020-05-03 00:00,17.28388889,17.28388889,17.18888889
2020-05-03 01:00,17.18888889,17.18888889,17.09388889
2020-05-03 02:00,17.18888889,17.18888889,16.99888889
2020-05-03 03:00,17.09388889,17.09388889,16.99888889
2020-05-03 04:00,17.09388889,16.99888889,17.09388889
2020-05-03 05:00,16.99888889,16.99888889,16.99888889
2020-05-03 06:00,16.90277778,16.90277778,16.90277778
2020-05-03 07:00,16.90277778,16.90277778,16.90277778
2020-05-03 08:00,16.90277778,16.80777778,16.80777778
2020-05-03 09:00,16.90277778,16.80777778,16.80777778
2020-05-03 10:00,16.99888889,16.80777778,16.80777778
2020-05-03 11:00,18.33111111,16.99888889,16.99888889
2020-05-03 12:00,18.42611111,17.28388889,17.09388889
2020-05-03 13:00,18.61611111,17.57,17.18888889
2020-05-03 14:00,18.42611111,17.665,17.28388889
2020-05-03 15:00,19.56722222,17.855,17.28388889
2020-05-03 16:00,19.75777778,18.14,17.28388889
2020-05-03 17:00,19.66222222,18.33111111,17.475
2020-05-03 18:00,19.85277778,18.52111111,17.95
2020-05-03 19:00,19.56722222,18.52111111,17.76
2020-05-03 20:00,19.09222222,18.71111111,18.045
2020-05-03 21:00,18.99611111,18.71111111,17.57
2020-05-03 22:00,18.90111111,18.71111111,17.76
2020-05-03 23:00,18.71111111,18.71111111,17.855
2020-05-04 00:00,18.61611111,18.52111111,18.33111111
2020-05-04 01:00,18.52111111,18.42611111,18.42611111
2020-05-04 02:00,18.42611111,18.42611111,18.42611111
2020-05-04 03:00,18.42611111,18.33111111,18.33111111
2020-05-04 04:00,18.42611111,18.23611111,18.33111111
2020-05-04 05:00,18.33111111,18.23611111,18.23611111
2020-05-04 06:00,18.23611111,18.14,18.23611111
2020-05-04 07:00,18.14,18.045,18.14
2020-05-04 08:00,18.14,17.95,18.045
2020-05-04 09:00,18.14,17.95,17.95
2020-05-04 10:00,18.23611111,17.95,17.95
2020-05-04 11:00,17.95,17.76,17.76
2020-05-04 12:00,17.95,17.76,17.855
2020-05-04 13:00,18.045,17.665,17.665
2020-05-04 14:00,17.95,17.665,17.665
2020-05-04 15:00,18.045,17.57,17.57
2020-05-04 16:00,18.52111111,17.665,17.665
2020-05-04 17:00,18.045,17.665,17.665
2020-05-04 18:00,17.76,17.665,17.665
2020-05-04 19:00,17.57,17.475,17.57
2020-05-04 20:00,17.475,17.37888889,17.475
2020-05-04 21:00,17.28388889,17.28388889,17.28388889
2020-05-04 22:00,17.18888889,17.09388889,17.18888889
2020-05-04 23:00,17.09388889,16.99888889,17.09388889
2020-05-05 00:00,16.99888889,16.99888889,16.99888889
2020-05-05 01:00,16.99888889,16.90277778,16.99888889
2020-05-05 02:00,16.90277778,16.90277778,16.90277778
2020-05-05 03:00,16.90277778,16.80777778,16.90277778
2020-05-05 04:00,16.80777778,16.80777778,16.80777778
2020-05-05 05:00,16.71277778,16.71277778,16.80777778
2020-05-05 06:00,16.71277778,16.61777778,16.71277778
2020-05-05 07:00,16.71277778,16.61777778,16.61777778
