lake,year,month,sample_id,site,hypo_temp_c,hypo_DO_mgL,hypo_DO_sat,core_id,core_unique,sediment_sa_m2,water_height_pre_m,water_height_post_m,doy,pH,temp_c,DO_mgL,DO_sat,TP_mgL_1,TP_mgL_2,vol_replace_L,replace_TP_mgL_1,replace_TP_mgL_2
Green Valley,2020,October,C200413001006,10,8.1,8.71,73.7,6,39,0.001735,0.298,0.294,300,8.36,10.2,10.42,92.8,0.1423,0.141,0.05,0.1241,0.1258
Green Valley,2020,October,C20041300107,1,6.7,10.19,83.3,7,40,0.001735,0.267,0.26,300,8.43,10,10.86,96.3,0.1353,0.134,0.05,0.1156,0.1151
Green Valley,2020,October,C20041300108,1,6.7,10.19,83.3,8,41,0.001735,0.282,0.28,300,8.42,10,10.86,96.3,0.1546,0.1552,0.05,0.1156,0.1151
Green Valley,2020,October,C20041300109,1,6.7,10.19,83.3,9,42,0.001735,0.298,0.292,300,8.36,9.6,10.87,95.6,0.1247,0.1231,0.05,0.1156,0.1151
Green Valley,2020,October,C20041301401,4,8.4,8.65,73.8,1,34,0.001735,0.179,0.172,301,8.56,12.2,10,93.3,0.2111,0.212,0.05,0.1383,0.1387
Green Valley,2020,October,C20041301402,4,8.4,8.65,73.8,2,35,0.001735,0.196,0.19,301,8.43,10.7,10.31,92.9,0.1594,0.1601,0.05,0.1383,0.1387
Green Valley,2020,October,C20041301403,4,8.4,8.65,73.8,3,36,0.001735,0.194,0.194,301,8.36,9.9,10.52,93.1,0.2019,0.2005,0.05,0.1383,0.1387
Green Valley,2020,October,C200413011004,10,8.1,8.71,73.7,4,37,0.001735,0.278,0.276,301,8.41,10.2,10.64,94.8,0.1486,0.1461,0.05,0.1247,0.1233
Green Valley,2020,October,C200413011005,10,8.1,8.71,73.7,5,38,0.001735,0.272,0.265,301,8.24,10.1,9.3,82.7,0.1458,0.1439,0.05,0.1247,0.1233
Green Valley,2020,October,C200413011006,10,8.1,8.71,73.7,6,39,0.001735,0.298,0.294,301,8.3,10.1,10.46,93.1,0.1439,0.1439,0.05,0.1247,0.1233
Green Valley,2020,October,C20041301107,1,6.7,10.19,83.3,7,40,0.001735,0.267,0.26,301,8.45,10,10.78,95.6,0.1343,0.1325,0.05,0.1106,0.1106
Green Valley,2020,October,C20041301108,1,6.7,10.19,83.3,8,41,0.001735,0.282,0.28,301,8.33,10,10.31,91.6,0.1553,0.1546,0.05,0.1106,0.1106
Green Valley,2020,October,C20041301109,1,6.7,10.19,83.3,9,42,0.001735,0.298,0.292,301,8.35,9.6,10.64,93.4,0.125,0.1258,0.05,0.1106,0.1106
Green Valley,2020,October,C20041302401,4,8.4,8.65,73.8,1,34,0.001735,0.179,0.172,302,8.48,12.9,10.01,94.7,0.1522,0.1522,NA,NA,NA
Green Valley,2020,October,C20041302402,4,8.4,8.65,73.8,2,35,0.001735,0.196,0.19,302,8.44,11.1,10.38,94.3,0.1463,0.1455,NA,NA,NA
Green Valley,2020,October,C20041302403,4,8.4,8.65,73.8,3,36,0.001735,0.194,0.194,302,8.28,10.6,9.92,89.2,0.2089,0.2072,NA,NA,NA
Green Valley,2020,October,C200413021004,10,8.1,8.71,73.7,4,37,0.001735,0.278,0.276,302,8.39,11.4,10.4,95.4,0.1347,0.135,NA,NA,NA
Green Valley,2020,October,C200413021005,10,8.1,8.71,73.7,5,38,0.001735,0.272,0.265,302,8.19,10.7,8.76,79,0.1398,0.1395,NA,NA,NA
Green Valley,2020,October,C200413021006,10,8.1,8.71,73.7,6,39,0.001735,0.298,0.294,302,8.3,11,10.05,91.5,0.1431,0.1418,NA,NA,NA
Green Valley,2020,October,C20041302107,1,6.7,10.19,83.3,7,40,0.001735,0.267,0.26,302,8.48,11.4,10.61,97.4,0.1463,0.1464,NA,NA,NA
Green Valley,2020,October,C20041302108,1,6.7,10.19,83.3,8,41,0.001735,0.282,0.28,302,8.3,11.2,10.12,92.1,0.141,0.1401,NA,NA,NA
Green Valley,2020,October,C20041302109,1,6.7,10.19,83.3,9,42,0.001735,0.298,0.292,302,8.18,11,10.17,92.4,0.1054,0.1059,NA,NA,NA
Green Valley,2019,July,C1904120401o1,1,NA,7,NA,1,43,0.001735,0.27,NA,204,7.44,20,NA,NA,0.59913,0.59343,0.075,0.64705,NA
Green Valley,2019,July,C1904120401o2,1,NA,7,NA,2,44,0.001735,0.325,NA,204,8.77,20,NA,NA,0.50943,0.50029,0.075,0.64705,NA
Green Valley,2019,July,C1904120402A9,2,NA,1.85,NA,9,45,0.001735,0.29,NA,204,8.2,20,NA,NA,0.40436,0.41435,0.075,0.3285,NA
Green Valley,2019,July,C1904120402A10,2,NA,1.85,NA,10,46,0.001735,0.262,NA,204,8.33,20,NA,NA,0.45389,0.46744,0.075,0.3285,NA
Green Valley,2019,July,C1904120403A11,3,NA,0.77,NA,11,47,0.001735,0.203,NA,204,8.37,20,NA,NA,0.61433,0.61421,0.075,0.751825,NA
Green Valley,2019,July,C1904120403A12,3,NA,0.77,NA,12,48,0.001735,0.21,NA,204,8.36,20,NA,NA,0.50638,0.52169,0.075,0.751825,NA
Green Valley,2019,July,C1904120406o17,6,NA,4.8,NA,17,53,0.001735,0.283,NA,204,8.4,20,NA,NA,0.45994,0.46923,0.075,0.37764,NA
Green Valley,2019,July,C1904120406o18,6,NA,4.8,NA,18,54,0.001735,0.242,NA,204,8.44,20,NA,NA,0.43516,0.45278,0.075,0.37764,NA
Green Valley,2019,July,C1904120404A19,4,NA,0.41,NA,19,49,0.001735,0.18,NA,204,8.74,20,NA,NA,1.0498,1.0515,0.075,0.848605,NA
Green Valley,2019,July,C1904120404A20,4,NA,0.41,NA,20,50,0.001735,0.169,NA,204,8.91,20,NA,NA,0.9337,0.93504,0.075,0.848605,NA
Green Valley,2019,July,C1904120405A21,5,NA,0.77,NA,21,51,0.001735,0.205,NA,204,8.93,20,NA,NA,1.1268,1.0256,0.1,0.514675,NA
Green Valley,2019,July,C1904120405A22,5,NA,0.77,NA,22,52,0.001735,0.137,NA,204,8.9,20,NA,NA,0.98071,0.98118,0.075,0.514675,NA
Green Valley,2019,July,C1904120501o1,1,NA,7,NA,1,43,0.001735,0.27,NA,205,7.57,20,NA,NA,0.4244,0.40032,0.07,0.33139,NA
Green Valley,2019,July,C1904120501o2,1,NA,7,NA,2,44,0.001735,0.325,NA,205,8.24,20,NA,NA,0.43151,0.40641,0.07,0.33139,NA
Green Valley,2019,July,C1904120502A9,2,NA,1.85,NA,9,45,0.001735,0.29,NA,205,8.34,20,NA,NA,0.32201,0.31204,0.07,0.303805,NA
Green Valley,2019,July,C1904120502A10,2,NA,1.85,NA,10,46,0.001735,0.262,NA,205,8.36,20,NA,NA,0.49677,0.54549,0.07,0.303805,NA
Green Valley,2019,July,C1904120503A11,3,NA,0.77,NA,11,47,0.001735,0.203,NA,205,8.62,20,NA,NA,0.56381,0.53328,0.07,0.81694,NA
Green Valley,2019,July,C1904120503A12,3,NA,0.77,NA,12,48,0.001735,0.21,NA,205,8.64,20,NA,NA,0.57806,0.58113,0.07,0.81694,NA
Green Valley,2019,July,C1904120506o17,6,NA,4.8,NA,17,53,0.001735,0.283,NA,205,8.26,20,NA,NA,0.30821,0.30725,0.07,0.331835,NA
Green Valley,2019,July,C1904120506o18,6,NA,4.8,NA,18,54,0.001735,0.242,NA,205,8.3,20,NA,NA,0.34463,0.30536,0.07,0.331835,NA
Green Valley,2019,July,C1904120504A19,4,NA,0.41,NA,19,49,0.001735,0.18,NA,205,8.79,20,NA,NA,0.94915,0.78925,0.07,0.784295,NA
Green Valley,2019,July,C1904120504A20,4,NA,0.41,NA,20,50,0.001735,0.169,NA,205,9.02,20,NA,NA,0.93378,0.86662,0.07,0.784295,NA
Green Valley,2019,July,C1904120505A21,5,NA,0.77,NA,21,51,0.001735,0.205,NA,205,9,20,NA,NA,0.79799,0.76742,0.07,0.483445,NA
Green Valley,2019,July,C1904120505A22,5,NA,0.77,NA,22,52,0.001735,0.137,NA,205,8.96,20,NA,NA,0.85185,0.91055,0.07,0.483445,NA
Green Valley,2019,July,C1904120601o1,1,NA,7,NA,1,43,0.001735,0.27,NA,206,6.83,20,NA,NA,0.32105,0.32514,0.07,0.359135,NA
Green Valley,2019,July,C1904120601o2,1,NA,7,NA,2,44,0.001735,0.325,NA,206,7.69,20,NA,NA,0.44047,0.44657,0.07,0.359135,NA
Green Valley,2019,July,C1904120602A9,2,NA,1.85,NA,9,45,0.001735,0.29,NA,206,8.06,20,NA,NA,0.3132,0.30813,0.07,0.31608,NA
Green Valley,2019,July,C1904120602A10,2,NA,1.85,NA,10,46,0.001735,0.262,NA,206,8.08,20,NA,NA,0.4444,0.43146,0.07,0.31608,NA
Green Valley,2019,July,C1904120603A11,3,NA,0.77,NA,11,47,0.001735,0.203,NA,206,8.3,20,NA,NA,0.42952,0.41748,0.07,0.81114,NA
Green Valley,2019,July,C1904120603A12,3,NA,0.77,NA,12,48,0.001735,0.21,NA,206,8.23,20,NA,NA,0.46265,0.45143,0.07,0.81114,NA
Green Valley,2019,July,C1904120606o17,6,NA,4.8,NA,17,53,0.001735,0.283,NA,206,8.26,20,NA,NA,0.42946,0.20759,0.07,0.3478,NA
Green Valley,2019,July,C1904120606o18,6,NA,4.8,NA,18,54,0.001735,0.242,NA,206,8.32,20,NA,NA,0.45739,0.28181,0.07,0.3478,NA
Green Valley,2019,July,C1904120604A19,4,NA,0.41,NA,19,49,0.001735,0.18,NA,206,8.49,20,NA,NA,0.79372,0.755,0.07,0.804355,NA
Green Valley,2019,July,C1904120604A20,4,NA,0.41,NA,20,50,0.001735,0.169,NA,206,8.73,20,NA,NA,0.75992,0.73594,0.07,0.804355,NA
Green Valley,2019,July,C1904120605A21,5,NA,0.77,NA,21,51,0.001735,0.205,NA,206,8.9,20,NA,NA,0.67581,0.7739,0.07,0.44596,NA
Green Valley,2019,July,C1904120605A22,5,NA,0.77,NA,22,52,0.001735,0.137,NA,206,8.75,20,NA,NA,0.47658,0.51397,0.07,0.44596,NA
Green Valley,2019,July,C1904120701o1,1,NA,7,NA,1,43,0.001735,0.27,NA,207,7.21,20,NA,NA,0.28183,0.26492,0.07,0.344535,NA
Green Valley,2019,July,C1904120701o2,1,NA,7,NA,2,44,0.001735,0.325,NA,207,7.39,20,NA,NA,0.4,0.43044,0.07,0.344535,NA
Green Valley,2019,July,C1904120702A9,2,NA,1.85,NA,9,45,0.001735,0.29,NA,207,8,20,NA,NA,0.29222,0.28436,0.07,0.289165,NA
Green Valley,2019,July,C1904120702A10,2,NA,1.85,NA,10,46,0.001735,0.262,NA,207,8.01,20,NA,NA,0.37548,0.3718,0.07,0.289165,NA
Green Valley,2019,July,C1904120703A11,3,NA,0.77,NA,11,47,0.001735,0.203,NA,207,8.08,20,NA,NA,0.54368,0.53653,0.07,0.95323,NA
Green Valley,2019,July,C1904120703A12,3,NA,0.77,NA,12,48,0.001735,0.21,NA,207,8,20,NA,NA,0.56757,0.55501,0.07,0.95323,NA
Green Valley,2019,July,C1904120706o17,6,NA,4.8,NA,17,53,0.001735,0.283,NA,207,8.29,20,NA,NA,0.21269,0.19879,0.07,0.306845,NA
Green Valley,2019,July,C1904120706o18,6,NA,4.8,NA,18,54,0.001735,0.242,NA,207,8.27,20,NA,NA,0.18004,0.19455,0.07,0.306845,NA
Green Valley,2019,July,C1904120704A19,4,NA,0.41,NA,19,49,0.001735,0.18,NA,207,8.4,20,NA,NA,0.82694,0.86804,0.07,0.83544,NA
Green Valley,2019,July,C1904120704A20,4,NA,0.41,NA,20,50,0.001735,0.169,NA,207,8.53,20,NA,NA,0.71253,0.79211,0.07,0.83544,NA
Green Valley,2019,July,C1904120705A21,5,NA,0.77,NA,21,51,0.001735,0.205,NA,207,8.71,20,NA,NA,0.5905,0.58633,0.07,0.46074,NA
Green Valley,2019,July,C1904120705A22,5,NA,0.77,NA,22,52,0.001735,0.137,NA,207,8.48,20,NA,NA,0.45694,0.42528,0.07,0.46074,NA
Green Valley,2019,July,C1904120801o1,1,NA,7,NA,1,43,0.001735,0.27,NA,208,6.73,20,NA,NA,0.20275,0.21929,NA,NA,NA
Green Valley,2019,July,C1904120801o2,1,NA,7,NA,2,44,0.001735,0.325,NA,208,7.3,20,NA,NA,0.31611,0.28183,NA,NA,NA
Green Valley,2019,July,C1904120802A9,2,NA,1.85,NA,9,45,0.001735,0.29,NA,208,8.31,20,NA,NA,0.3041,0.29113,NA,NA,NA
Green Valley,2019,July,C1904120802A10,2,NA,1.85,NA,10,46,0.001735,0.262,NA,208,8.32,20,NA,NA,0.34144,0.34418,NA,NA,NA
Green Valley,2019,July,C1904120803A11,3,NA,0.77,NA,11,47,0.001735,0.203,NA,208,8.43,20,NA,NA,0.60623,0.58933,NA,NA,NA
Green Valley,2019,July,C1904120803A12,3,NA,0.77,NA,12,48,0.001735,0.21,NA,208,8.3,20,NA,NA,0.47047,0.44772,NA,NA,NA
Green Valley,2019,July,C1904120806o17,6,NA,4.8,NA,17,53,0.001735,0.283,NA,208,8.25,20,NA,NA,0.17711,0.15452,NA,NA,NA
Green Valley,2019,July,C1904120806o18,6,NA,4.8,NA,18,54,0.001735,0.242,NA,208,7.36,20,NA,NA,0.15939,0.13594,NA,NA,NA
Green Valley,2019,July,C1904120804A19,4,NA,0.41,NA,19,49,0.001735,0.18,NA,208,8.64,20,NA,NA,0.83026,0.82807,NA,NA,NA
Green Valley,2019,July,C1904120804A20,4,NA,0.41,NA,20,50,0.001735,0.169,NA,208,8.72,20,NA,NA,0.73365,0.73588,NA,NA,NA
Green Valley,2019,July,C1904120805A21,5,NA,0.77,NA,21,51,0.001735,0.205,NA,208,7.98,20,NA,NA,0.6041,0.58316,NA,NA,NA
Green Valley,2019,July,C1904120805A22,5,NA,0.77,NA,22,52,0.001735,0.137,NA,208,8.77,20,NA,NA,0.49799,0.46925,NA,NA,NA
