lake,year,month,sample_id,site,hypo_temp_c,hypo_DO_mgL,hypo_DO_sat,core_id,core_unique,sediment_sa_m2,water_height_pre_m,water_height_post_m,doy,pH,temp_c,DO_mgL,DO_sat,TP_mgL_1,TP_mgL_2,vol_replace_L,replace_TP_mgL_1,replace_TP_mgL_2
Green Valley,2020,April,C200411181005,10,14.1,8.88,86.4,5,11,0.001735,0.284,0.262,118,7.16,11.8,9.96,92,0.0948,0.0981,0.065,0.0408,0.0368
Green Valley,2020,April,C200411181006,10,14.1,8.88,86.4,6,12,0.001735,0.342,0.33,118,7.19,11.8,9.81,90.6,0.1403,0.1278,0.065,0.0408,0.0368
Green Valley,2020,April,C20041118107,1,14.6,9.41,92.5,7,13,0.001735,0.296,0.28,118,7.46,12.1,10.44,97.3,0.1075,0.1129,0.065,0.0455,0.0448
Green Valley,2020,April,C20041118108,1,14.6,9.41,92.5,8,14,0.001735,0.316,0.302,118,7.41,12.1,9.62,89.5,0.0945,0.0895,0.065,0.0455,0.0448
Green Valley,2020,April,C20041118109,1,14.6,9.41,92.5,9,15,0.001735,0.262,0.254,118,7.55,12.6,10.43,98.3,0.1556,0.1558,0.065,0.0455,0.0448
Green Valley,2020,April,C20041119401,4,11.9,5.84,54.3,1,7,0.001735,0.207,0.182,119,6.83,12.7,6.64,63.1,0.2308,0.2004,0.065,0.0616,0.0671
Green Valley,2020,April,C20041119402,4,11.9,5.84,54.3,2,8,0.001735,0.226,0.215,119,6.98,11.4,8.5,77.8,0.1412,0.1412,0.065,0.0616,0.0671
Green Valley,2020,April,C20041119403,4,11.9,5.84,54.3,3,9,0.001735,0.2,0.182,119,7.01,10.9,5.76,52.5,0.1773,0.1765,0.065,0.0616,0.0671
Green Valley,2020,April,C200411191004,10,14.1,8.88,86.4,4,10,0.001735,0.188,0.27,119,7.26,11.3,9.98,91.3,0.0895,0.0912,0.065,0.0405,0.0452
Green Valley,2020,April,C200411191005,10,14.1,8.88,86.4,5,11,0.001735,0.284,0.262,119,7.35,11.1,9.12,82.9,0.1041,0.1093,0.065,0.0405,0.0452
Green Valley,2020,April,C200411191006,10,14.1,8.88,86.4,6,12,0.001735,0.342,0.33,119,7.43,11.1,9.97,90.6,0.1387,0.1346,0.065,0.0405,0.0452
Green Valley,2020,April,C20041119107,1,14.6,9.41,92.5,7,13,0.001735,0.296,0.28,119,7.61,11.6,10.18,93.6,0.1195,0.1083,0.065,0.0489,0.0492
Green Valley,2020,April,C20041119108,1,14.6,9.41,92.5,8,14,0.001735,0.316,0.302,119,7.69,11.5,9.85,90,0.1058,0.1083,0.065,0.0489,0.0492
Green Valley,2020,April,C20041119109,1,14.6,9.41,92.5,9,15,0.001735,0.262,0.254,119,7.69,11.2,10.05,91.7,0.2131,0.2169,0.065,0.0489,0.0492
Green Valley,2020,April,C20041120401,4,11.9,5.84,54.3,1,7,0.001735,0.207,0.182,120,6.8,12.2,6.5,60.7,0.1973,0.1979,0.065,0.0596,0.0561
Green Valley,2020,April,C20041120402,4,11.9,5.84,54.3,2,8,0.001735,0.226,0.215,120,7,10.8,8.91,80.6,0.1127,0.1219,0.065,0.0596,0.0561
Green Valley,2020,April,C20041120403,4,11.9,5.84,54.3,3,9,0.001735,0.2,0.182,120,7.13,10.4,6.61,59.3,0.1499,0.1427,0.065,0.0596,0.0561
Green Valley,2020,April,C200411201004,10,14.1,8.88,86.4,4,10,0.001735,0.188,0.27,120,7.32,10.9,10.35,93.7,0.0906,0.0966,0.065,0.0446,0.0442
Green Valley,2020,April,C200411201005,10,14.1,8.88,86.4,5,11,0.001735,0.284,0.262,120,7.36,10.6,10.28,92.4,0.0992,0.1014,0.065,0.0446,0.0442
Green Valley,2020,April,C200411201006,10,14.1,8.88,86.4,6,12,0.001735,0.342,0.33,120,7.63,10.6,10.63,95.5,0.1158,0.1178,0.065,0.0446,0.0442
Green Valley,2020,April,C20041120107,1,14.6,9.41,92.5,7,13,0.001735,0.296,0.28,120,7.77,11.1,10.55,96,0.0859,0.086,0.065,0.0477,0.0484
Green Valley,2020,April,C20041120108,1,14.6,9.41,92.5,8,14,0.001735,0.316,0.302,120,7.8,10.9,10.35,93.5,0.0853,0.0841,0.065,0.0477,0.0484
Green Valley,2020,April,C20041120109,1,14.6,9.41,92.5,9,15,0.001735,0.262,0.254,120,7.9,10.7,10.57,95.3,0.1552,0.1532,0.065,0.0477,0.0484
Green Valley,2020,April,C20041121401,4,11.9,5.84,54.3,1,7,0.001735,0.207,0.182,121,6.85,12.4,6.82,64,0.1733,0.175,NA,NA,NA
Green Valley,2020,April,C20041121402,4,11.9,5.84,54.3,2,8,0.001735,0.226,0.215,121,6.99,11,8.73,79.3,0.1161,0.1141,NA,NA,NA
Green Valley,2020,April,C20041121403,4,11.9,5.84,54.3,3,9,0.001735,0.2,0.182,121,7.58,10.5,6.31,56.6,0.1336,0.1478,NA,NA,NA
Green Valley,2020,April,C200411211004,10,14.1,8.88,86.4,4,10,0.001735,0.188,0.27,121,7.96,10.9,10.36,94,0.0925,0.0863,NA,NA,NA
Green Valley,2020,April,C200411211005,10,14.1,8.88,86.4,5,11,0.001735,0.284,0.262,121,7.94,10.7,10.46,94.4,0.0892,0.09,NA,NA,NA
Green Valley,2020,April,C200411211006,10,14.1,8.88,86.4,6,12,0.001735,0.342,0.33,121,8.13,10.8,10.64,96.2,0.1107,0.1147,NA,NA,NA
Green Valley,2020,April,C20041121107,1,14.6,9.41,92.5,7,13,0.001735,0.296,0.28,121,8.16,11.3,10.61,96.9,0.0971,0.0934,NA,NA,NA
Green Valley,2020,April,C20041121108,1,14.6,9.41,92.5,8,14,0.001735,0.316,0.302,121,8.23,11.1,10.69,97.4,0.09,0.0915,NA,NA,NA
Green Valley,2020,April,C20041121109,1,14.6,9.41,92.5,9,15,0.001735,0.262,0.254,121,8.25,11,10.75,97.6,0.1445,0.1451,NA,NA,NA
Green Valley,2020,June,C20041182401,4,24.2,0.28,3.3,1,16,0.001735,0.264,0.246,182,7.97,22.1,1.6,18.4,0.2525,0.2658,0.05,0.1807,0.1759
Green Valley,2020,June,C20041182402,4,24.2,0.28,3.3,2,17,0.001735,0.192,0.198,182,7.7,22,1.65,18.9,0.3096,0.3275,0.05,0.1807,0.1759
Green Valley,2020,June,C20041182403,4,24.2,0.28,3.3,3,18,0.001735,0.186,0.185,182,7.84,22,1.51,17.3,0.277,0.2731,0.05,0.1807,0.1759
Green Valley,2020,June,C200411821004,10,26.3,6.26,78,4,19,0.001735,0.232,0.213,182,6.94,22.1,2.8,32,0.4221,0.4177,0.05,0.2143,0.2068
Green Valley,2020,June,C200411821005,10,26.3,6.26,78,5,20,0.001735,0.282,0.263,182,7.43,22,7.62,87.2,0.3258,0.3284,0.05,0.2143,0.2068
Green Valley,2020,June,C200411821006,10,26.3,6.26,78,6,21,0.001735,0.207,0.184,182,7.16,22.1,6.45,74,0.3825,0.4236,0.05,0.2143,0.2068
Green Valley,2020,June,C20041182107,1,26.5,5.41,67.4,7,22,0.001735,0.305,0.29,182,7.33,22.1,6.91,79.2,0.2619,0.2781,0.05,0.2509,0.2488
Green Valley,2020,June,C20041182108,1,26.5,5.41,67.4,8,23,0.001735,0.308,0.284,182,7.53,22.3,7.51,86.3,0.327,0.2919,0.05,0.2509,0.2488
Green Valley,2020,June,C20041182109,1,26.5,5.41,67.4,9,24,0.001735,0.329,0.31,182,7.51,22.4,7.57,87.1,0.347,0.3306,0.05,0.2509,0.2488
Green Valley,2020,June,C20041183401,4,24.2,0.28,3.3,1,16,0.001735,0.264,0.246,183,8.57,23.1,1.14,13.4,0.3296,0.3236,0.05,0.1773,0.1735
Green Valley,2020,June,C20041183402,4,24.2,0.28,3.3,2,17,0.001735,0.192,0.198,183,8.17,22.9,1.22,14.2,0.5255,0.5072,0.05,0.1773,0.1735
Green Valley,2020,June,C20041183403,4,24.2,0.28,3.3,3,18,0.001735,0.186,0.185,183,8.1,22.9,1.22,14.1,0.3877,0.3856,0.05,0.1773,0.1735
Green Valley,2020,June,C200411831004,10,26.3,6.26,78,4,19,0.001735,0.232,0.213,183,7.52,22.9,7.08,82.3,0.2858,0.2818,0.05,0.2179,0.213
Green Valley,2020,June,C200411831005,10,26.3,6.26,78,5,20,0.001735,0.282,0.263,183,7.71,22.8,7.7,89.4,0.2966,0.2991,0.05,0.2179,0.213
Green Valley,2020,June,C200411831006,10,26.3,6.26,78,6,21,0.001735,0.207,0.184,183,7.15,23,6.55,76.3,0.3367,0.3454,0.05,0.2179,0.213
Green Valley,2020,June,C20041183107,1,26.5,5.41,67.4,7,22,0.001735,0.305,0.29,183,7.54,23,7.84,91.4,0.222,0.2178,0.05,0.2369,0.2457
Green Valley,2020,June,C20041183108,1,26.5,5.41,67.4,8,23,0.001735,0.308,0.284,183,7.55,23.1,7.64,89.3,0.3087,0.3072,0.05,0.2369,0.2457
Green Valley,2020,June,C20041183109,1,26.5,5.41,67.4,9,24,0.001735,0.329,0.31,183,7.28,23.1,6.6,77.1,0.327,0.3225,0.05,0.2369,0.2457
Green Valley,2020,June,C20041184401,4,24.2,0.28,3.3,1,16,0.001735,0.264,0.246,184,8.5,23.1,1.4,16.4,0.3819,0.3871,0.05,0.1743,0.1738
Green Valley,2020,June,C20041184402,4,24.2,0.28,3.3,2,17,0.001735,0.192,0.198,184,8.03,22.9,1.39,16,0.4639,0.4398,0.05,0.1743,0.1738
Green Valley,2020,June,C20041184403,4,24.2,0.28,3.3,3,18,0.001735,0.186,0.185,184,8,22.8,1.06,12.4,0.4891,0.4798,0.05,0.1743,0.1738
Green Valley,2020,June,C200411841004,10,26.3,6.26,78,4,19,0.001735,0.232,0.213,184,7.29,22.9,6.31,73.5,0.2466,0.242,0.05,0.168,0.1587
Green Valley,2020,June,C200411841005,10,26.3,6.26,78,5,20,0.001735,0.282,0.263,184,7.07,22.9,5.45,63.3,0.2985,0.3041,0.05,0.168,0.1587
Green Valley,2020,June,C200411841006,10,26.3,6.26,78,6,21,0.001735,0.207,0.184,184,7,23,5.18,60.4,0.3224,0.3432,0.05,0.168,0.1587
